POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Kimi Räikkönen,Ferrari,70,1:30:54.200,10
2,5,Felipe Massa,Ferrari,70,+2.414s,8
3,2,Lewis Hamilton,McLaren Mercedes,70,+32.153s,6
4,10,Robert Kubica,Sauber BMW,70,+41.727s,5
5,9,Nick Heidfeld,Sauber BMW,70,+48.801s,4
6,3,Giancarlo Fisichella,Renault,70,+52.210s,3
7,1,Fernando Alonso,McLaren Mercedes,70,+56.516s,2
8,7,Jenson Button,Honda,70,+58.885s,1
9,16,Nico Rosberg,Williams Toyota,70,+68.505s,0
10,11,Ralf Schumacher,Toyota,69,+1 lap,0
11,8,Rubens Barrichello,Honda,69,+1 lap,0
12,15,Mark Webber,Red Bull Renault,69,+1 lap,0
13,14,David Coulthard,Red Bull Renault,69,+1 lap,0
14,17,Alexander Wurz,Williams Toyota,69,+1 lap,0
15,4,Heikki Kovalainen,Renault,69,+1 lap,0
16,22,Takuma Sato,Super Aguri Honda,68,+2 laps,0
17,20,Adrian Sutil,Spyker Ferrari,68,+2 laps,0
NC,19,Scott Speed,STR Ferrari,55,DNF,0
NC,21,Christijan Albers,Spyker Ferrari,28,DNF,0
NC,23,Anthony Davidson,Super Aguri Honda,1,DNF,0
NC,12,Jarno Trulli,Toyota,1,DNF,0
NC,18,Vitantonio Liuzzi,STR Ferrari,0,DNF,0
