POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Kimi Räikkönen,Ferrari,56,1:37:58.395,10
2,1,Fernando Alonso,McLaren Mercedes,56,+9.806s,8
3,5,Felipe Massa,Ferrari,56,+12.891s,6
4,19,Sebastian Vettel,STR Ferrari,56,+53.509s,5
5,7,Jenson Button,Honda,56,+68.666s,4
6,18,Vitantonio Liuzzi,STR Ferrari,56,+73.673s,3
7,9,Nick Heidfeld,Sauber BMW,56,+74.224s,2
8,14,David Coulthard,Red Bull Renault,56,+80.750s,1
9,4,Heikki Kovalainen,Renault,56,+81.186s,0
10,15,Mark Webber,Red Bull Renault,56,+84.685s,0
11,3,Giancarlo Fisichella,Renault,56,+86.683s,0
12,17,Alexander Wurz,Williams Toyota,55,+1 lap,0
13,12,Jarno Trulli,Toyota,55,+1 lap,0
14,22,Takuma Sato,Super Aguri Honda,55,+1 lap,0
15,8,Rubens Barrichello,Honda,55,+1 lap,0
16,16,Nico Rosberg,Williams Toyota,54,+2 laps,0
17,21,Sakon Yamamoto,Spyker Ferrari,53,+3 laps,0
NC,10,Robert Kubica,Sauber BMW,33,DNF,0
NC,2,Lewis Hamilton,McLaren Mercedes,30,DNF,0
NC,11,Ralf Schumacher,Toyota,25,DNF,0
NC,20,Adrian Sutil,Spyker Ferrari,24,DNF,0
NC,23,Anthony Davidson,Super Aguri Honda,11,DNF,0
