POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,28,Tony Brooks,Vanwall,70,2:03:47.800,8
2,14,Mike Hawthorn,Ferrari,70,+24.200s,6
3,18,Phil Hill,Ferrari,70,+28.300s,5
4,32,Masten Gregory,Maserati,,SHC,0
4,32,Carroll Shelby,Maserati,69,+1 lap,0
5,6,Roy Salvadori,Cooper Climax,62,+8 laps,2
6,38,Graham Hill,Lotus Climax,62,+8 laps,0
7,36,Cliff Allison,Lotus Climax,61,+9 laps,0
NC,42,Maria Teresa de Filippis,Maserati,57,DNF,0
NC,22,Giulio Cabianca,Maserati,51,DNF,0
NC,8,Jean Behra,BRM,42,DNF,0
NC,24,Hans Herrmann,Maserati,32,DNF,0
NC,30,Stuart Lewis-Evans,Vanwall,30,DNF,0
NC,2,Maurice Trintignant,Cooper Climax,24,DNF,0
NC,26,Stirling Moss,Vanwall,17,DNF,0
NC,12,Jo Bonnier,BRM,14,DNF,0
NC,20,Olivier Gendebien,Ferrari,4,DNF,0
NC,40,Gerino Gerini,Maserati,2,DNF,0
NC,34,Carroll Shelby,Maserati,1,DNF,0
NC,10,Harry Schell,BRM,0,DNF,0
NC,16,Wolfgang von Trips,Ferrari,0,DNF,0
NC,4,Jack Brabham,Cooper Climax,0,DNF,0
