POS,DRIVER,NATIONALITY,CAR,PTS
1,Mika Hakkinen,FIN,McLaren Mercedes,100
2,Michael Schumacher,GER,Ferrari,86
3,David Coulthard,GBR,McLaren Mercedes,56
4,Eddie Irvine,GBR,Ferrari,47
5,Jacques Villeneuve,CAN,Williams Mecachrome,21
6,Damon Hill,GBR,Jordan Mugen Honda,20
7,Heinz-Harald Frentzen,GER,Williams Mecachrome,17
8,Alexander Wurz,AUT,Benetton Playlife,17
9,Giancarlo Fisichella,ITA,Benetton Playlife,16
10,Ralf Schumacher,GER,Jordan Mugen Honda,14
11,Jean Alesi,FRA,Sauber Petronas,9
12,Rubens Barrichello,BRA,Stewart Ford,4
13,Mika Salo,FIN,Arrows,3
14,Pedro Diniz,BRA,Arrows,3
15,Johnny Herbert,GBR,Sauber Petronas,1
16,Jan Magnussen,DEN,Stewart Ford,1
17,Jarno Trulli,ITA,Prost Peugeot,1
18,Ricardo Rosset,BRA,Tyrrell Ford,0
19,Olivier Panis,FRA,Prost Peugeot,0
20,Toranosuke Takagi,JPN,Tyrrell Ford,0
21,Shinji Nakano,JPN,Minardi Ford,0
22,Esteban Tuero,ARG,Minardi Ford,0
23,Jos Verstappen,NED,Stewart Ford,0
