POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,7,John Watson,McLaren Ford,62,1:58:41.043,9
2,25,Eddie Cheever,Ligier Matra,62,+15.730s,6
3,28,Didier Pironi,Ferrari,62,+28.080s,4
4,6,Keke Rosberg,Williams Ford,62,+71.980s,3
5,5,Derek Daly,Williams Ford,62,+83.760s,2
6,26,Jacques Laffite,Ligier Matra,61,+1 lap,1
7,17,Jochen Mass,March Ford,61,+1 lap,0
8,29,Marc Surer,Arrows Ford,61,+1 lap,0
9,4,Brian Henton,Tyrrell Ford,60,+2 laps,0
10,16,Rene Arnoux,Renault,59,+3 laps,0
11,20,Chico Serra,Fittipaldi Ford,59,+3 laps,0
NC,15,Alain Prost,Renault,54,+8 laps,0
NC,12,Nigel Mansell,Lotus Ford,44,DNF,0
NC,8,Niki Lauda,McLaren Ford,40,DNF,0
NC,3,Michele Alboreto,Tyrrell Ford,40,DNF,0
NC,23,Bruno Giacomelli,Alfa Romeo,30,DNF,0
NC,11,Elio de Angelis,Lotus Ford,17,DNF,0
NC,10,Eliseo Salazar,ATS Ford,13,DNF,0
NC,14,Roberto Guerrero,Ensign Ford,6,DNF,0
NC,2,Riccardo Patrese,Brabham Ford,6,DNF,0
NC,22,Andrea de Cesaris,Alfa Romeo,2,DNF,0
NC,31,Jean-Pierre Jarier,Osella Ford,2,DNF,0
NC,9,Manfred Winkelhock,ATS Ford,1,DNF,0
NC,18,Raul Boesel,March Ford,0,DNF,0
NC,30,Mauro Baldi,Arrows Ford,0,DNF,0
