POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,66,1:41:05.155,25
2,6,Nico Rosberg,Mercedes,66,+0.636s,18
3,3,Daniel Ricciardo,Red Bull Racing Renault,66,+49.014s,15
4,1,Sebastian Vettel,Red Bull Racing Renault,66,+76.702s,12
5,77,Valtteri Bottas,Williams Mercedes,66,+79.293s,10
6,14,Fernando Alonso,Ferrari,66,+87.743s,8
7,7,Kimi Räikkönen,Ferrari,65,+1 lap,6
8,8,Romain Grosjean,Lotus Renault,65,+1 lap,4
9,11,Sergio Perez,Force India Mercedes,65,+1 lap,2
10,27,Nico Hulkenberg,Force India Mercedes,65,+1 lap,1
11,22,Jenson Button,McLaren Mercedes,65,+1 lap,0
12,20,Kevin Magnussen,McLaren Mercedes,65,+1 lap,0
13,19,Felipe Massa,Williams Mercedes,65,+1 lap,0
14,26,Daniil Kvyat,STR Renault,65,+1 lap,0
15,13,Pastor Maldonado,Lotus Renault,65,+1 lap,0
16,21,Esteban Gutierrez,Sauber Ferrari,65,+1 lap,0
17,99,Adrian Sutil,Sauber Ferrari,65,+1 lap,0
18,17,Jules Bianchi,Marussia Ferrari,64,+2 laps,0
19,4,Max Chilton,Marussia Ferrari,64,+2 laps,0
20,9,Marcus Ericsson,Caterham Renault,64,+2 laps,0
NC,10,Kamui Kobayashi,Caterham Renault,34,DNF,0
NC,25,Jean-Eric Vergne,STR Renault,24,DNF,0
