POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Nico Rosberg,Mercedes,67,1:33:42.914,25
2,77,Valtteri Bottas,Williams Mercedes,67,+20.789s,18
3,44,Lewis Hamilton,Mercedes,67,+22.530s,15
4,1,Sebastian Vettel,Red Bull Racing Renault,67,+44.014s,12
5,14,Fernando Alonso,Ferrari,67,+52.467s,10
6,3,Daniel Ricciardo,Red Bull Racing Renault,67,+52.549s,8
7,27,Nico Hulkenberg,Force India Mercedes,67,+64.178s,6
8,22,Jenson Button,McLaren Mercedes,67,+84.711s,4
9,20,Kevin Magnussen,McLaren Mercedes,66,+1 lap,2
10,11,Sergio Perez,Force India Mercedes,66,+1 lap,1
11,7,Kimi Räikkönen,Ferrari,66,+1 lap,0
12,13,Pastor Maldonado,Lotus Renault,66,+1 lap,0
13,25,Jean-Eric Vergne,STR Renault,66,+1 lap,0
14,21,Esteban Gutierrez,Sauber Ferrari,66,+1 lap,0
15,17,Jules Bianchi,Marussia Ferrari,66,+1 lap,0
16,10,Kamui Kobayashi,Caterham Renault,65,+2 laps,0
17,4,Max Chilton,Marussia Ferrari,65,+2 laps,0
18,9,Marcus Ericsson,Caterham Renault,65,+2 laps,0
NC,99,Adrian Sutil,Sauber Ferrari,47,DNF,0
NC,26,Daniil Kvyat,STR Renault,44,DNF,0
NC,8,Romain Grosjean,Lotus Renault,26,DNF,0
NC,19,Felipe Massa,Williams Mercedes,0,DNF,0
