POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Damon Hill,Williams Renault,77,1:46:25.721,10
2,6,David Coulthard,Williams Renault,77,+33.398s,6
3,28,Gerhard Berger,Ferrari,76,+1 lap,4
4,2,Johnny Herbert,Benetton Renault,76,+1 lap,3
5,30,Heinz-Harald Frentzen,Sauber Ford,76,+1 lap,2
6,26,Olivier Panis,Ligier Mugen Honda,76,+1 lap,1
7,14,Rubens Barrichello,Jordan Peugeot,76,+1 lap,0
8,24,Luca Badoer,Minardi Ford,75,+2 laps,0
9,23,Pedro Lamy,Minardi Ford,74,+3 laps,0
10,29,Jean-Christophe Boullion,Sauber Ford,74,+3 laps,0
11,1,Michael Schumacher,Benetton Renault,73,DNF,0
12,17,Andrea Montermini,Pacific Ilmor,73,+4 laps,0
13,15,Eddie Irvine,Jordan Peugeot,70,DNF,0
NC,25,Martin Brundle,Ligier Mugen Honda,67,DNF,0
NC,4,Mika Salo,Tyrrell Yamaha,58,DNF,0
NC,7,Mark Blundell,McLaren Mercedes,54,DNF,0
NC,3,Ukyo Katayama,Tyrrell Yamaha,46,DNF,0
NC,9,Massimiliano Papis,Footwork Hart,45,DNF,0
NC,27,Jean Alesi,Ferrari,42,DNF,0
NC,21,Pedro Diniz,Forti Ford,32,DNF,0
NC,10,Taki Inoue,Footwork Hart,13,DNF,0
NC,22,Roberto Moreno,Forti Ford,8,DNF,0
NC,16,Giovanni Lavaggi,Pacific Ilmor,5,DNF,0
NC,8,Mika Hakkinen,McLaren Mercedes,3,DNF,0
