POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Damon Hill,Williams Renault,71,1:51:39.531,10
2,27,Jean Alesi,Ferrari,71,+7.136s,6
3,1,Michael Schumacher,Benetton Renault,71,+32.888s,4
4,2,Johnny Herbert,Benetton Renault,70,+1 lap,3
5,30,Heinz-Harald Frentzen,Sauber Ford,69,+2 laps,2
6,28,Gerhard Berger,Ferrari,69,+2 laps,1
7,26,Olivier Panis,Ligier Mugen Honda,69,+2 laps,0
8,3,Ukyo Katayama,Tyrrell Yamaha,68,+3 laps,0
9,11,Domenico Schiattarella,Simtek Ford,67,+4 laps,0
NC,21,Pedro Diniz,Forti Ford,62,OK,0
NC,22,Roberto Moreno,Forti Ford,62,OK,0
NC,4,Mika Salo,Tyrrell Yamaha,48,OK,0
NC,25,Aguri Suzuki,Ligier Mugen Honda,47,OK,0
NC,23,Pierluigi Martini,Minardi Ford,44,OK,0
NC,9,Gianni Morbidelli,Footwork Hart,43,OK,0
NC,10,Taki Inoue,Footwork Hart,40,OK,0
NC,14,Rubens Barrichello,Jordan Peugeot,33,OK,0
NC,12,Jos Verstappen,Simtek Ford,23,OK,0
NC,6,David Coulthard,Williams Renault,16,OK,0
NC,7,Mark Blundell,McLaren Mercedes,9,OK,0
NC,15,Eddie Irvine,Jordan Peugeot,6,OK,0
NC,17,Andrea Montermini,Pacific Ilmor,1,OK,0
