POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Johnny Herbert,Benetton Renault,61,1:34:35.093,10
2,27,Jean Alesi,Ferrari,61,+16.479s,6
3,6,David Coulthard,Williams Renault,61,+23.888s,4
4,26,Olivier Panis,Ligier Mugen Honda,61,+93.168s,3
5,7,Mark Blundell,McLaren Mercedes,61,+108.172s,2
6,30,Heinz-Harald Frentzen,Sauber Ford,60,+1 lap,1
7,23,Pierluigi Martini,Minardi Ford,60,+1 lap,0
8,4,Mika Salo,Tyrrell Yamaha,60,+1 lap,0
9,29,Jean-Christophe Boullion,Sauber Ford,60,+1 lap,0
10,24,Luca Badoer,Minardi Ford,60,+1 lap,0
11,14,Rubens Barrichello,Jordan Peugeot,59,DNF,0
12,16,Bertrand Gachot,Pacific Ilmor,58,+3 laps,0
NC,22,Roberto Moreno,Forti Ford,48,DNF,0
NC,1,Michael Schumacher,Benetton Renault,45,DNF,0
NC,5,Damon Hill,Williams Renault,45,DNF,0
NC,9,Massimiliano Papis,Footwork Hart,28,DNF,0
NC,3,Ukyo Katayama,Tyrrell Yamaha,22,DNF,0
NC,17,Andrea Montermini,Pacific Ilmor,21,DNF,0
NC,8,Mika Hakkinen,McLaren Mercedes,20,DNF,0
NC,28,Gerhard Berger,Ferrari,20,DNF,0
NC,25,Martin Brundle,Ligier Mugen Honda,16,DNF,0
NC,10,Taki Inoue,Footwork Hart,16,DNF,0
NC,21,Pedro Diniz,Forti Ford,13,DNF,0
NC,15,Eddie Irvine,Jordan Peugeot,2,DNF,0
