POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,36,Dan Gurney,Eagle Weslake,28,1:40:49.400,9
2,14,Jackie Stewart,BRM,28,+63.000s,6
3,1,Chris Amon,Ferrari,28,+100.000s,4
4,29,Jochen Rindt,Cooper Maserati,28,+133.900s,3
5,12,Mike Spence,BRM,27,+1 lap,2
6,21,Jim Clark,Lotus Ford,27,+1 lap,1
7,34,Jo Siffert,Cooper Maserati,27,+1 lap,0
8,19,Bob Anderson,Brabham Climax,26,+2 laps,0
9,30,Pedro Rodriguez,Cooper Maserati,25,DNF,0
10,32,Guy Ligier,Cooper Maserati,25,+3 laps,0
NC,2,Ludovico Scarfiotti,Ferrari,24,+4 laps,0
NC,25,Jack Brabham,Brabham Repco,15,DNF,0
NC,26,Denny Hulme,Brabham Repco,14,DNF,0
NC,39,Jo Bonnier,Cooper Maserati,10,DNF,0
NC,22,Graham Hill,Lotus Ford,3,DNF,0
NC,17,Chris Irwin,BRM,1,DNF,0
NC,7,John Surtees,Honda,1,DNF,0
NC,3,Mike Parkes,Ferrari,0,DNF,0
