POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,7,Carlos Reutemann,Brabham Ford,14,1:41:14.100,9
2,21,Jacques Laffite,Frank Williams Racing Cars/Williams,14,+97.700s,6
3,12,Niki Lauda,Ferrari,14,+143.300s,4
4,16,Tom Pryce,Shadow Ford,14,+211.400s,3
5,22,Alan Jones,Hill Ford,14,+230.300s,2
6,19,Gijs van Lennep,Ensign Ford,14,+305.500s,1
7,29,Lella Lombardi,March Ford,14,+450.400s,0
8,25,Harald Ertl,Hesketh Ford,14,+460.900s,0
9,4,Patrick Depailler,Tyrrell Ford,13,+1 lap,0
10,27,Mario Andretti,Parnelli Ford,12,DNF,0
NC,24,James Hunt,Hesketh Ford,10,DNF,0
NC,11,Clay Regazzoni,Ferrari,9,DNF,0
NC,23,Tony Brise,Hill Ford,9,DNF,0
NC,3,Jody Scheckter,Tyrrell Ford,7,DNF,0
NC,17,Jean-Pierre Jarier,Shadow Ford,7,DNF,0
NC,8,Carlos Pace,Brabham Ford,5,DNF,0
NC,30,Wilson Fittipaldi,Fittipaldi Ford,4,DNF,0
NC,1,Emerson Fittipaldi,McLaren Ford,3,DNF,0
NC,10,Hans-Joachim Stuck,March Ford,3,DNF,0
NC,9,Vittorio Brambilla,March Ford,3,DNF,0
NC,6,John Watson,Lotus Ford,2,DNF,0
NC,5,Ronnie Peterson,Lotus Ford,1,DNF,0
NC,28,Mark Donohue,March Ford,1,DNF,0
NC,2,Jochen Mass,McLaren Ford,0,DNF,0
