POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,12,Niki Lauda,Ferrari,59,1:42:58.175,9
2,1,Emerson Fittipaldi,McLaren Ford,59,+4.943s,6
3,2,Jochen Mass,McLaren Ford,59,+47.637s,4
4,24,James Hunt,Hesketh Ford,59,+49.475s,3
5,5,Ronnie Peterson,Lotus Ford,59,+49.986s,2
6,3,Jody Scheckter,Tyrrell Ford,59,+50.321s,1
7,9,Vittorio Brambilla,March Ford,59,+104.031s,0
8,10,Hans-Joachim Stuck,March Ford,58,+1 lap,0
9,28,John Watson,Penske Ford,57,+2 laps,0
10,30,Wilson Fittipaldi,Fittipaldi Ford,55,+4 laps,0
NC,16,Tom Pryce,Shadow Ford,52,+7 laps,0
NC,6,Brian Henton,Lotus Ford,49,+10 laps,0
NC,25,Brett Lunger,Hesketh Ford,46,DNF,0
NC,31,Roelof Wunderink,Ensign Ford,41,DNF,0
NC,11,Clay Regazzoni,Ferrari,28,DNF,0
NC,17,Jean-Pierre Jarier,Shadow Ford,19,DNF,0
NC,7,Carlos Reutemann,Brabham Ford,9,DNF,0
NC,27,Mario Andretti,Parnelli Ford,9,DNF,0
NC,23,Tony Brise,Hill Ford,5,DNF,0
NC,15,Michel Leclere,Tyrrell Ford,5,DNF,0
NC,4,Patrick Depailler,Tyrrell Ford,2,DNF,0
NC,8,Carlos Pace,Brabham Ford,2,DNF,0
