POS,DRIVER,NATIONALITY,CAR,PTS
1,Juan Manuel Fangio,ARG,Mercedes-Benz,40
2,Stirling Moss,GBR,Mercedes-Benz,23
3,Eugenio Castellotti,ITA,Ferrari,12
4,Maurice Trintignant,FRA,Ferrari,11.3
5,Nino Farina,ITA,Ferrari,10.3
6,Piero Taruffi,ITA,Mercedes-Benz,9
7,Bob Sweikert,USA,Kurtis Kraft Offenhauser,8
8,Roberto Mieres,ARG,Maserati,7
9,Luigi Musso,ITA,Maserati,6
9,Jean Behra,FRA,Maserati,6
11,Karl Kling,GER,Mercedes-Benz,5
12,Jimmy Davies,USA,Kurtis Kraft Offenhauser,4
13,Paul Russo,USA,Kurtis Kraft Offenhauser,3
13,Tony Bettenhausen,USA,Kurtis Kraft Offenhauser,3
13,Johnny Thomson,USA,Kuzma Offenhauser,3
13,Paul Frere,BEL,Ferrari,3
17,Jose Froilan Gonzalez,ARG,Ferrari,2
17,Cesare Perdisa,ITA,Maserati,2
17,Luigi Villoresi,ITA,Lancia,2
17,Carlos Menditeguy,ARG,Maserati,2
21,Umberto Maglioli,ITA,Ferrari,1.3
22,Hans Herrmann,GER,Mercedes-Benz,1
22,Walt Faulkner,USA,Kurtis Kraft Offenhauser,1
22,Bill Homeier,USA,Kurtis Kraft Offenhauser,1
22,Bill Vukovich,USA,Kurtis Kraft Offenhauser,1
