POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,70,1:31:53.145,25
2,6,Nico Rosberg,Mercedes,70,+2.285s,18
3,77,Valtteri Bottas,Williams Mercedes,70,+40.666s,15
4,7,Kimi Räikkönen,Ferrari,70,+45.625s,12
5,5,Sebastian Vettel,Ferrari,70,+49.903s,10
6,19,Felipe Massa,Williams Mercedes,70,+56.381s,8
7,13,Pastor Maldonado,Lotus Mercedes,70,+66.664s,6
8,27,Nico Hulkenberg,Force India Mercedes,69,+1 lap,4
9,26,Daniil Kvyat,Red Bull Racing Renault,69,+1 lap,2
10,8,Romain Grosjean,Lotus Mercedes,69,+1 lap,1
11,11,Sergio Perez,Force India Mercedes,69,+1 lap,0
12,55,Carlos Sainz,STR Renault,69,+1 lap,0
13,3,Daniel Ricciardo,Red Bull Racing Renault,69,+1 lap,0
14,9,Marcus Ericsson,Sauber Ferrari,69,+1 lap,0
15,33,Max Verstappen,STR Renault,69,+1 lap,0
16,12,Felipe Nasr,Sauber Ferrari,68,+2 laps,0
17,28,Will Stevens,Marussia Ferrari,66,+4 laps,0
NC,98,Roberto Merhi,Marussia Ferrari,57,DNF,0
NC,22,Jenson Button,McLaren Honda,54,DNF,0
NC,14,Fernando Alonso,McLaren Honda,44,DNF,0
