POS,DRIVER,NATIONALITY,CAR,PTS
1,James Hunt,GBR,McLaren Ford,69
2,Niki Lauda,AUT,Ferrari,68
3,Jody Scheckter,RSA,Tyrrell Ford,49
4,Patrick Depailler,FRA,Tyrrell Ford,39
5,Clay Regazzoni,SUI,Ferrari,31
6,Mario Andretti,USA,Lotus Ford,22
7,John Watson,GBR,Penske Ford,20
7,Jacques Laffite,FRA,Ligier Matra,20
9,Jochen Mass,GER,McLaren Ford,19
10,Gunnar Nilsson,SWE,Lotus Ford,11
11,Ronnie Peterson,SWE,March Ford,10
11,Tom Pryce,GBR,Shadow Ford,10
13,Hans-Joachim Stuck,GER,March Ford,8
14,Carlos Pace,BRA,Brabham Alfa Romeo,7
14,Alan Jones,AUS,Surtees Ford,7
16,Carlos Reutemann,ARG,Ferrari,3
16,Emerson Fittipaldi,BRA,Fittipaldi Ford,3
18,Chris Amon,NZL,Wolf-Williams,2
19,Rolf Stommelen,GER,Brabham Alfa Romeo,1
19,Vittorio Brambilla,ITA,March Ford,1
