POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,11,James Hunt,McLaren Ford,75,1:42:20.430,9
2,1,Niki Lauda,Ferrari,75,+30.970s,6
3,6,Gunnar Nilsson,Lotus Ford,75,+48.020s,4
4,7,Carlos Reutemann,Brabham Alfa Romeo,74,+1 lap,3
5,22,Chris Amon,Ensign Ford,74,+1 lap,2
6,8,Carlos Pace,Brabham Alfa Romeo,74,+1 lap,1
7,20,Jacky Ickx,Wolf-Williams,74,+1 lap,0
8,16,Tom Pryce,Shadow Ford,74,+1 lap,0
9,19,Alan Jones,Surtees Ford,74,+1 lap,0
10,21,Michel Leclere,Wolf-Williams,73,+2 laps,0
11,2,Clay Regazzoni,Ferrari,72,+3 laps,0
12,26,Jacques Laffite,Ligier Matra,72,+3 laps,0
13,37,Larry Perkins,Boro Ford,72,+3 laps,0
NC,12,Jochen Mass,McLaren Ford,65,DNF,0
NC,17,Jean-Pierre Jarier,Shadow Ford,61,DNF,0
NC,3,Jody Scheckter,Tyrrell Ford,53,DNF,0
NC,28,John Watson,Penske Ford,51,DNF,0
NC,35,Arturo Merzario,March Ford,36,DNF,0
NC,5,Mario Andretti,Lotus Ford,34,DNF,0
NC,4,Patrick Depailler,Tyrrell Ford,25,DNF,0
NC,9,Vittorio Brambilla,March Ford,21,DNF,0
NC,34,Hans-Joachim Stuck,March Ford,16,DNF,0
NC,10,Ronnie Peterson,March Ford,11,DNF,0
NC,30,Emerson Fittipaldi,Fittipaldi Ford,3,DNF,0
