POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Jody Scheckter,Tyrrell Ford,72,1:46:53.729,9
2,4,Patrick Depailler,Tyrrell Ford,72,+19.770s,6
3,1,Niki Lauda,Ferrari,72,+33.870s,4
4,26,Jacques Laffite,Ligier Matra,72,+55.820s,3
5,11,James Hunt,McLaren Ford,72,+59.480s,2
6,2,Clay Regazzoni,Ferrari,72,+60.370s,1
7,10,Ronnie Peterson,March Ford,72,+63.490s,0
8,8,Carlos Pace,Brabham Alfa Romeo,72,+71.610s,0
9,16,Tom Pryce,Shadow Ford,71,+1 lap,0
10,9,Vittorio Brambilla,March Ford,71,+1 lap,0
11,12,Jochen Mass,McLaren Ford,71,+1 lap,0
12,17,Jean-Pierre Jarier,Shadow Ford,71,+1 lap,0
13,19,Alan Jones,Surtees Ford,71,+1 lap,0
14,35,Arturo Merzario,March Ford,70,DNF,0
15,18,Brett Lunger,Surtees Ford,70,+2 laps,0
NC,24,Harald Ertl,Hesketh Ford,54,DNF,0
NC,34,Hans-Joachim Stuck,March Ford,52,DNF,0
NC,5,Mario Andretti,Lotus Ford,45,DNF,0
NC,22,Chris Amon,Ensign Ford,38,DNF,0
NC,21,Michel Leclere,Wolf-Williams,20,DNF,0
NC,37,Larry Perkins,Boro Ford,18,DNF,0
NC,30,Emerson Fittipaldi,Fittipaldi Ford,10,DNF,0
NC,32,Loris Kessel,null,5,DNF,0
NC,6,Gunnar Nilsson,Lotus Ford,2,DNF,0
NC,7,Carlos Reutemann,Brabham Alfa Romeo,2,DNF,0
NC,28,John Watson,Penske Ford,0,DNF,0
