POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Niki Lauda,Ferrari,40,1:45:16.780,9
2,4,Patrick Depailler,Tyrrell Ford,40,+21.470s,6
3,16,Tom Pryce,Shadow Ford,40,+23.840s,4
4,34,Hans-Joachim Stuck,March Ford,40,+88.170s,3
5,3,Jody Scheckter,Tyrrell Ford,40,+116.460s,2
6,12,Jochen Mass,McLaren Ford,40,+118.270s,1
7,2,Clay Regazzoni,Ferrari,40,+135.240s,0
8,20,Jacky Ickx,Wolf-Williams,39,+1 lap,0
9,21,Renzo Zorzi,Wolf-Williams,39,+1 lap,0
10,8,Carlos Pace,Brabham Alfa Romeo,39,+1 lap,0
11,31,Ingo Hoffman,Fittipaldi Ford,39,+1 lap,0
12,7,Carlos Reutemann,Brabham Alfa Romeo,37,DNF,0
13,30,Emerson Fittipaldi,Fittipaldi Ford,37,+3 laps,0
14,10,Lella Lombardi,March Ford,36,+4 laps,0
NC,17,Jean-Pierre Jarier,Shadow Ford,33,DNF,0
NC,11,James Hunt,McLaren Ford,32,DNF,0
NC,9,Vittorio Brambilla,March Ford,15,DNF,0
NC,26,Jacques Laffite,Ligier Matra,14,DNF,0
NC,5,Ronnie Peterson,Lotus Ford,10,DNF,0
NC,6,Mario Andretti,Lotus Ford,6,DNF,0
NC,28,John Watson,Penske Ford,2,DNF,0
NC,14,Ian Ashley,BRM,2,DNF,0
