POS,DRIVER,NATIONALITY,CAR,PTS
1,Sebastian Vettel,GER,Red Bull Racing Renault,281
2,Fernando Alonso,ESP,Ferrari,278
3,Kimi Räikkönen,FIN,Lotus Renault,207
4,Lewis Hamilton,GBR,McLaren Mercedes,190
5,Jenson Button,GBR,McLaren Mercedes,188
6,Mark Webber,AUS,Red Bull Racing Renault,179
7,Felipe Massa,BRA,Ferrari,122
8,Romain Grosjean,FRA,Lotus Renault,96
9,Nico Rosberg,GER,Mercedes,93
10,Sergio Perez,MEX,Sauber Ferrari,66
11,Nico Hulkenberg,GER,Force India Mercedes,63
12,Kamui Kobayashi,JPN,Sauber Ferrari,60
13,Michael Schumacher,GER,Mercedes,49
14,Paul di Resta,GBR,Force India Mercedes,46
15,Pastor Maldonado,VEN,Williams Renault,45
16,Bruno Senna,BRA,Williams Renault,31
17,Jean-Eric Vergne,FRA,STR Ferrari,16
18,Daniel Ricciardo,AUS,STR Ferrari,10
19,Vitaly Petrov,RUS,Caterham Renault,0
20,Timo Glock,GER,Marussia Cosworth,0
21,Charles Pic,FRA,Marussia Cosworth,0
22,Heikki Kovalainen,FIN,Caterham Renault,0
23,Jerome d'Ambrosio,BEL,Lotus Renault,0
24,Narain Karthikeyan,IND,HRT Cosworth,0
25,Pedro de la Rosa,ESP,HRT Cosworth,0
