POS,DRIVER,NATIONALITY,CAR,PTS
1,Kimi Räikkönen,FIN,Ferrari,110
2,Lewis Hamilton,GBR,McLaren Mercedes,109
3,Fernando Alonso,ESP,McLaren Mercedes,109
4,Felipe Massa,BRA,Ferrari,94
5,Nick Heidfeld,GER,Sauber BMW,61
6,Robert Kubica,POL,Sauber BMW,39
7,Heikki Kovalainen,FIN,Renault,30
8,Giancarlo Fisichella,ITA,Renault,21
9,Nico Rosberg,GER,Williams Toyota,20
10,David Coulthard,GBR,Red Bull Renault,14
11,Alexander Wurz,AUT,Williams Toyota,13
12,Mark Webber,AUS,Red Bull Renault,10
13,Jarno Trulli,ITA,Toyota,8
14,Sebastian Vettel,GER,STR Ferrari,6
15,Jenson Button,GBR,Honda,6
16,Ralf Schumacher,GER,Toyota,5
17,Takuma Sato,JPN,Super Aguri Honda,4
18,Vitantonio Liuzzi,ITA,STR Ferrari,3
19,Adrian Sutil,GER,Spyker Ferrari,1
20,Rubens Barrichello,BRA,Honda,0
21,Scott Speed,USA,STR Ferrari,0
22,Kazuki Nakajima,JPN,Williams Toyota,0
23,Anthony Davidson,GBR,Super Aguri Honda,0
24,Sakon Yamamoto,JPN,Spyker Ferrari,0
25,Christijan Albers,NED,Spyker Ferrari,0
