GRAND PRIX,DRIVER,CAR,TIME
Australia,Lewis Hamilton,Mercedes,1:30.945
Malaysia,Nico Rosberg,Mercedes,1:42.062
China,Lewis Hamilton,Mercedes,1:42.208
Bahrain,Kimi Räikkönen,Ferrari,1:36.311
Spain,Lewis Hamilton,Mercedes,1:28.270
Monaco,Daniel Ricciardo,Red Bull Racing Renault,1:18.063
Canada,Kimi Räikkönen,Ferrari,1:16.987
Austria,Nico Rosberg,Mercedes,1:11.235
Great Britain,Lewis Hamilton,Mercedes,1:37.093
Hungary,Daniel Ricciardo,Red Bull Racing Renault,1:24.821
Belgium,Nico Rosberg,Mercedes,1:52.416
Italy,Lewis Hamilton,Mercedes,1:26.672
Singapore,Daniel Ricciardo,Red Bull Racing Renault,1:50.041
Japan,Lewis Hamilton,Mercedes,1:36.145
Russia,Sebastian Vettel,Ferrari,1:40.071
United States,Nico Rosberg,Mercedes,1:40.666
Mexico,Nico Rosberg,Mercedes,1:20.521
Brazil,Lewis Hamilton,Mercedes,1:14.832
Abu Dhabi,Lewis Hamilton,Mercedes,1:44.517
