POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Sebastian Vettel,Red Bull Racing Renault,71,1:32:36.300,25
2,2,Mark Webber,Red Bull Racing Renault,71,+10.452s,18
3,3,Fernando Alonso,Ferrari,71,+18.913s,15
4,5,Jenson Button,McLaren Mercedes,71,+37.360s,12
5,9,Nico Rosberg,Mercedes,71,+39.048s,10
6,6,Sergio Perez,McLaren Mercedes,71,+44.051s,8
7,4,Felipe Massa,Ferrari,71,+49.110s,6
8,11,Nico Hulkenberg,Sauber Ferrari,71,+64.252s,4
9,10,Lewis Hamilton,Mercedes,71,+72.903s,2
10,19,Daniel Ricciardo,STR Ferrari,70,+1 lap,1
11,14,Paul di Resta,Force India Mercedes,70,+1 lap,0
12,12,Esteban Gutierrez,Sauber Ferrari,70,+1 lap,0
13,15,Adrian Sutil,Force India Mercedes,70,+1 lap,0
14,7,Heikki Kovalainen,Lotus Renault,70,+1 lap,0
15,18,Jean-Eric Vergne,STR Ferrari,70,+1 lap,0
16,16,Pastor Maldonado,Williams Renault,70,+1 lap,0
17,22,Jules Bianchi,Marussia Cosworth,69,+2 laps,0
18,21,Giedo van der Garde,Caterham Renault,69,+2 laps,0
19,23,Max Chilton,Marussia Cosworth,69,+2 laps,0
NC,20,Charles Pic,Caterham Renault,58,DNF,0
NC,17,Valtteri Bottas,Williams Renault,45,DNF,0
NC,8,Romain Grosjean,Lotus Renault,2,DNF,0
