POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Fernando Alonso,Ferrari,66,1:39:16.596,25
2,7,Kimi Räikkönen,Lotus Renault,66,+9.338s,18
3,4,Felipe Massa,Ferrari,66,+26.049s,15
4,1,Sebastian Vettel,Red Bull Racing Renault,66,+38.273s,12
5,2,Mark Webber,Red Bull Racing Renault,66,+47.963s,10
6,9,Nico Rosberg,Mercedes,66,+68.020s,8
7,14,Paul di Resta,Force India Mercedes,66,+68.988s,6
8,5,Jenson Button,McLaren Mercedes,66,+79.506s,4
9,6,Sergio Perez,McLaren Mercedes,66,+81.738s,2
10,19,Daniel Ricciardo,STR Ferrari,65,+1 lap,1
11,12,Esteban Gutierrez,Sauber Ferrari,65,+1 lap,0
12,10,Lewis Hamilton,Mercedes,65,+1 lap,0
13,15,Adrian Sutil,Force India Mercedes,65,+1 lap,0
14,16,Pastor Maldonado,Williams Renault,65,+1 lap,0
15,11,Nico Hulkenberg,Sauber Ferrari,65,+1 lap,0
16,17,Valtteri Bottas,Williams Renault,65,+1 lap,0
17,20,Charles Pic,Caterham Renault,65,+1 lap,0
18,22,Jules Bianchi,Marussia Cosworth,64,+2 laps,0
19,23,Max Chilton,Marussia Cosworth,64,+2 laps,0
NC,18,Jean-Eric Vergne,STR Ferrari,52,DNF,0
NC,21,Giedo van der Garde,Caterham Renault,21,DNF,0
NC,8,Romain Grosjean,Lotus Renault,8,DNF,0
