POS,DRIVER,NATIONALITY,CAR,PTS
1,Mario Andretti,USA,Lotus Ford,64
2,Ronnie Peterson,SWE,Lotus Ford,51
3,Carlos Reutemann,ARG,Ferrari,48
4,Niki Lauda,AUT,Brabham Alfa Romeo,44
5,Patrick Depailler,FRA,Tyrrell Ford,34
6,John Watson,GBR,Brabham Alfa Romeo,25
7,Jody Scheckter,RSA,Wolf Ford,24
8,Jacques Laffite,FRA,Ligier Matra,19
9,Gilles Villeneuve,CAN,Ferrari,17
9,Emerson Fittipaldi,BRA,Fittipaldi Ford,17
11,Alan Jones,AUS,Williams Ford,11
11,Riccardo Patrese,ITA,Arrows Ford,11
13,James Hunt,GBR,McLaren Ford,8
13,Patrick Tambay,FRA,McLaren Ford,8
15,Didier Pironi,FRA,Tyrrell Ford,7
16,Clay Regazzoni,SUI,Shadow Ford,4
17,Jean-Pierre Jabouille,FRA,Renault,3
18,Hans-Joachim Stuck,GER,Shadow Ford,2
19,Hector Rebaque,MEX,Lotus Ford,1
19,Vittorio Brambilla,ITA,Surtees Ford,1
19,Derek Daly,IRL,Ensign Ford,1
