POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Michael Schumacher,Ferrari,53,1:14:51.975,10
2,3,Kimi Räikkönen,McLaren Mercedes,53,+8.046s,8
3,17,Robert Kubica,Sauber BMW,53,+26.414s,6
4,2,Giancarlo Fisichella,Renault,53,+32.045s,5
5,12,Jenson Button,Honda,53,+32.685s,4
6,11,Rubens Barrichello,Honda,53,+42.409s,3
7,8,Jarno Trulli,Toyota,53,+44.662s,2
8,16,Nick Heidfeld,Sauber BMW,53,+45.309s,1
9,6,Felipe Massa,Ferrari,53,+45.955s,0
10,9,Mark Webber,Williams Cosworth,53,+72.602s,0
11,15,Christian Klien,RBR Ferrari,52,+1 lap,0
12,14,David Coulthard,RBR Ferrari,52,+1 lap,0
13,21,Scott Speed,STR Cosworth,52,+1 lap,0
14,20,Vitantonio Liuzzi,STR Cosworth,52,+1 lap,0
15,7,Ralf Schumacher,Toyota,52,+1 lap,0
16,22,Takuma Sato,Super Aguri Honda,51,+2 laps,0
17,19,Christijan Albers,MF1 Toyota,51,+2 laps,0
NC,18,Tiago Monteiro,MF1 Toyota,44,DNF,0
NC,1,Fernando Alonso,Renault,43,DNF,0
NC,4,Pedro de la Rosa,McLaren Mercedes,20,DNF,0
NC,23,Sakon Yamamoto,Super Aguri Honda,18,DNF,0
NC,10,Nico Rosberg,Williams Cosworth,9,DNF,0
