POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Fernando Alonso,Renault,66,1:26:21.759,10
2,5,Michael Schumacher,Ferrari,66,+18.502s,8
3,2,Giancarlo Fisichella,Renault,66,+23.951s,6
4,6,Felipe Massa,Ferrari,66,+29.859s,5
5,3,Kimi Räikkönen,McLaren Mercedes,66,+56.875s,4
6,12,Jenson Button,Honda,66,+58.347s,3
7,11,Rubens Barrichello,Honda,65,+1 lap,2
8,16,Nick Heidfeld,Sauber BMW,65,+1 lap,1
9,9,Mark Webber,Williams Cosworth,65,+1 lap,0
10,8,Jarno Trulli,Toyota,65,+1 lap,0
11,10,Nico Rosberg,Williams Cosworth,65,+1 lap,0
12,17,Jacques Villeneuve,Sauber BMW,65,+1 lap,0
13,15,Christian Klien,RBR Ferrari,65,+1 lap,0
14,14,David Coulthard,RBR Ferrari,65,+1 lap,0
15,20,Vitantonio Liuzzi,STR Cosworth,63,DNF,0
16,18,Tiago Monteiro,MF1 Toyota,63,+3 laps,0
17,22,Takuma Sato,Super Aguri Honda,62,+4 laps,0
NC,19,Christijan Albers,MF1 Toyota,48,DNF,0
NC,21,Scott Speed,STR Cosworth,47,DNF,0
NC,7,Ralf Schumacher,Toyota,31,DNF,0
NC,4,Juan Pablo Montoya,McLaren Mercedes,17,DNF,0
NC,23,Franck Montagny,Super Aguri Honda,10,DNF,0
