POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Giancarlo Fisichella,Renault,56,1:30:40.529,10
2,1,Fernando Alonso,Renault,56,+4.585s,8
3,12,Jenson Button,Honda,56,+9.631s,6
4,4,Juan Pablo Montoya,McLaren Mercedes,56,+39.351s,5
5,6,Felipe Massa,Ferrari,56,+43.254s,4
6,5,Michael Schumacher,Ferrari,56,+43.854s,3
7,17,Jacques Villeneuve,Sauber BMW,56,+80.461s,2
8,7,Ralf Schumacher,Toyota,56,+81.288s,1
9,8,Jarno Trulli,Toyota,55,+1 lap,0
10,11,Rubens Barrichello,Honda,55,+1 lap,0
11,20,Vitantonio Liuzzi,STR Cosworth,54,+2 laps,0
12,19,Christijan Albers,MF1 Toyota,54,+2 laps,0
13,18,Tiago Monteiro,MF1 Toyota,54,+2 laps,0
14,22,Takuma Sato,Super Aguri Honda,53,+3 laps,0
NC,16,Nick Heidfeld,Sauber BMW,48,DNF,0
NC,21,Scott Speed,STR Cosworth,41,DNF,0
NC,23,Yuji Ide,Super Aguri Honda,33,DNF,0
NC,15,Christian Klien,RBR Ferrari,26,DNF,0
NC,9,Mark Webber,Williams Cosworth,15,DNF,0
NC,14,David Coulthard,RBR Ferrari,10,DNF,0
NC,10,Nico Rosberg,Williams Cosworth,6,DNF,0
NC,3,Kimi Räikkönen,McLaren Mercedes,0,DNF,0
