POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Fernando Alonso,Renault,70,1:34:37.308,10
2,5,Michael Schumacher,Ferrari,70,+2.111s,8
3,3,Kimi Räikkönen,McLaren Mercedes,70,+8.813s,6
4,2,Giancarlo Fisichella,Renault,70,+15.679s,5
5,6,Felipe Massa,Ferrari,70,+25.172s,4
6,8,Jarno Trulli,Toyota,69,+1 lap,3
7,16,Nick Heidfeld,Sauber BMW,69,+1 lap,2
8,14,David Coulthard,RBR Ferrari,69,+1 lap,1
9,12,Jenson Button,Honda,69,+1 lap,0
10,21,Scott Speed,STR Cosworth,69,+1 lap,0
11,15,Christian Klien,RBR Ferrari,69,+1 lap,0
12,9,Mark Webber,Williams Cosworth,69,+1 lap,0
13,20,Vitantonio Liuzzi,STR Cosworth,68,+2 laps,0
14,18,Tiago Monteiro,MF1 Toyota,66,+4 laps,0
15,22,Takuma Sato,Super Aguri Honda,64,DNF,0
NC,17,Jacques Villeneuve,Sauber BMW,58,DNF,0
NC,7,Ralf Schumacher,Toyota,58,DNF,0
NC,4,Juan Pablo Montoya,McLaren Mercedes,13,DNF,0
NC,11,Rubens Barrichello,Honda,11,DNF,0
NC,23,Franck Montagny,Super Aguri Honda,2,DNF,0
NC,10,Nico Rosberg,Williams Cosworth,1,DNF,0
NC,19,Christijan Albers,MF1 Toyota,0,DNF,0
