POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Felipe Massa,Ferrari,71,1:31:53.751,10
2,1,Fernando Alonso,Renault,71,+18.658s,8
3,12,Jenson Button,Honda,71,+19.394s,6
4,5,Michael Schumacher,Ferrari,71,+24.094s,5
5,3,Kimi Räikkönen,McLaren Mercedes,71,+28.503s,4
6,2,Giancarlo Fisichella,Renault,71,+30.287s,3
7,11,Rubens Barrichello,Honda,71,+40.294s,2
8,4,Pedro de la Rosa,McLaren Mercedes,71,+52.068s,1
9,17,Robert Kubica,Sauber BMW,71,+67.642s,0
10,22,Takuma Sato,Super Aguri Honda,70,+1 lap,0
11,21,Scott Speed,STR Cosworth,70,+1 lap,0
12,15,Robert Doornbos,RBR Ferrari,70,+1 lap,0
13,20,Vitantonio Liuzzi,STR Cosworth,70,+1 lap,0
14,19,Christijan Albers,MF1 Toyota,70,+1 lap,0
15,18,Tiago Monteiro,MF1 Toyota,69,+2 laps,0
16,23,Sakon Yamamoto,Super Aguri Honda,69,+2 laps,0
17,16,Nick Heidfeld,Sauber BMW,63,DNF,0
NC,14,David Coulthard,RBR Ferrari,14,DNF,0
NC,8,Jarno Trulli,Toyota,10,DNF,0
NC,7,Ralf Schumacher,Toyota,9,DNF,0
NC,9,Mark Webber,Williams Cosworth,1,DNF,0
NC,10,Nico Rosberg,Williams Cosworth,0,DNF,0
