POS,DRIVER,NATIONALITY,CAR,PTS
1,Michael Schumacher,GER,Benetton Renault,102
2,Damon Hill,GBR,Williams Renault,69
3,David Coulthard,GBR,Williams Renault,49
4,Johnny Herbert,GBR,Benetton Renault,45
5,Jean Alesi,FRA,Ferrari,42
6,Gerhard Berger,AUT,Ferrari,31
7,Mika Hakkinen,FIN,McLaren Mercedes,17
8,Olivier Panis,FRA,Ligier Mugen Honda,16
9,Heinz-Harald Frentzen,GER,Sauber Ford,15
10,Mark Blundell,GBR,McLaren Mercedes,13
11,Rubens Barrichello,BRA,Jordan Peugeot,11
12,Eddie Irvine,GBR,Jordan Peugeot,10
13,Martin Brundle,GBR,Ligier Mugen Honda,7
14,Gianni Morbidelli,ITA,Footwork Hart,5
15,Mika Salo,FIN,Tyrrell Yamaha,5
16,Jean-Christophe Boullion,FRA,Sauber Ford,3
17,Aguri Suzuki,JPN,Ligier Mugen Honda,1
18,Pedro Lamy,POR,Minardi Ford,1
