POS,DRIVER,NATIONALITY,CAR,PTS
1,Juan Manuel Fangio,ARG,Ferrari,30
2,Stirling Moss,GBR,Maserati,27
3,Peter Collins,GBR,Ferrari,25
4,Jean Behra,FRA,Maserati,22
5,Pat Flaherty,USA,Watson Offenhauser,8
6,Eugenio Castellotti,ITA,Ferrari,7.5
7,Sam Hanks,USA,Kurtis Kraft Offenhauser,6
7,Paul Frere,BEL,Ferrari,6
7,Paco Godia,ESP,Maserati,6
10,Jack Fairman,GBR,Connaught Alta,5
11,Mike Hawthorn,GBR,BRM,4
11,Luigi Musso,ITA,Ferrari,4
11,Don Freeland,USA,Phillips Offenhauser,4
11,Ron Flockhart,GBR,Connaught Alta,4
15,Johnnie Parsons,USA,Kuzma Offenhauser,3
15,Harry Schell,USA,Vanwall,3
15,Alfonso de Portago,ESP,Ferrari,3
15,Cesare Perdisa,ITA,Maserati,3
19,Olivier Gendebien,BEL,Ferrari,2
19,Hermano da Silva Ramos,BRA,Gordini,2
19,Dick Rathmann,USA,Kurtis Kraft Offenhauser,2
19,Luigi Villoresi,ITA,Maserati,2
19,Horace Gould,GBR,Maserati,2
19,Louis Rosier,FRA,Maserati,2
25,Gerino Gerini,ITA,Maserati,1.5
25,Chico Landi,BRA,Maserati,1.5
27,Paul Russo,USA,Kurtis Kraft Novi,1
